StreamerID,Average viewer in December 2018,Total minute streamed in December 2018,Most streamed game title (Game Title 1),Average viewer of Game Title 1,Most number of viewer of Game Title 1,Total streamed minutes of Game Title 1,Game title which had most number of viewer (Game Title 2),Average viewer of Game Title 2,Most number of viewer of Game Title 2,Total streamed minutes of Game Title 2,Game title which has most number of average viewer (Game Title 3),Average viewer of Game Title 3,Most number of viewer of Game Title 3,Total streamed minutes of Game Title 3
hanryang1125,11518,12377,IRL,5907,29050,34886,Getting Over It,21037,41297,1950,Getting Over It,21037,41297,1950
saddummy,5973,15360,IRL,3968,12065,52575,Just Chatting,6916,19666,12639,Resident Evil 2,11673,12017,30
handongsuk,8665,17806,Football Manager 2017,2037,4600,52468,IRL,2299,23514,39288,Kartrider,14007,15094,40
yapyap30,6731,18745,IRL,4236,14414,34874,FIFA 19,8671,25142,7370,Mario Party 8,21700,24681,170
faker,25310,1896,League of Legends,26544,214841,41782,League of Legends,26544,214841,41782,League of Legends,26544,214841,41782
kimdoe,5406,10303,Social Eating,2015,9378,31549,Minecraft,6851,16171,5739,CLOP,9251,12035,730
woowakgood,3269,16956,IRL,2364,12560,61416,League of Legends,3250,30280,24389,Meteor Defense,6174,6937,20
lol_ambition,5034,2019,League of Legends,2476,20736,26515,League of Legends,2476,20736,26515,Just Chatting,2993,10974,1370
ddahyoni,5415,10713,Hearthstone,7170,32336,148402,Hearthstone,7170,32336,148402,Dragon Ball Z: Super Butoden,7468,8843,95
zilioner,5141,8954,Heroes of the Storm,1782,6935,53434,Unknown,5865,21629,4734,Tabletop RPGs,8818,10843,290
sal_gu,3442,12042,Dead by Daylight,2461,7045,135584,Dead by Daylight,2461,7045,135584,Little Nightmares,4503,5854,165
looksam,5608,9479,Hearthstone,4013,18700,91982,Super Smash Bros. Ultimate,5029,20701,1655,MapleStory,7394,10910,1045
ajehr,3837,8165,Talk Shows &amp; Podcasts,2893,9971,95021,Unknown,6399,18122,309,Just Dance 2018,8873,10124,295
cocopopp671,2690,12158,IRL,1720,7353,62969,Just Chatting,2776,17762,13948,Silent Hill,7465,8789,150
dogswellfish,2777,18899,IRL,1054,5499,66296,Lost Ark Online,2601,8606,37160,Lost Ark Online,2601,8606,37160
lck_korea,14762,1195,League of Legends,22641,93900,56054,League of Legends,22641,93900,56054,League of Legends,22641,93900,56054
silphtv,1716,14505,PLAYERUNKNOWN'S BATTLEGROUNDS,1603,7884,165476,PLAYERUNKNOWN'S BATTLEGROUNDS,1603,7884,165476,Human: Fall Flat,2398,2555,130
jinu6734,3174,7468,IRL,1012,9929,56138,Puyo Puyo Tetris,1827,33849,17696,Nevermind,6063,6403,20
pacific8815,3659,9907,World of Warcraft,395,3498,130165,Kartrider,3959,18520,6330,Friends Marble,4730,8144,1045
mister903,5519,4580,Creative,4565,16487,40992,Creative,4565,16487,40992,Miracle Snack Shop,7624,11944,379
alenenwooptv,1914,15127,IRL,1220,5333,111516,IRL,1220,5333,111516,Hide and Shriek,4141,4722,80
rudbeckia7,2198,11846,IRL,1336,8346,63678,IRL,1336,8346,63678,Kartrider,5056,6726,280
flurry1989,3287,10490,Hearthstone,2441,10635,157334,Hearthstone,2441,10635,157334,Super Smash Bros. Ultimate,3378,6042,290
buzzbean11,10583,263,Just Chatting,5612,13413,2196,Just Chatting,5612,13413,2196,Choice Chamber,12371,12778,20
jungtaejune,1527,13450,IRL,1505,15509,94966,StarCraft,4761,19685,1185,Mario Party,4918,5546,105
yumyumyu77,3407,8616,League of Legends,3784,19812,59068,League of Legends,3784,19812,59068,Until Dawn: Rush of Blood,5732,6428,70
naseongkim,1098,11252,IRL,302,3173,60040,Talk Shows &amp; Podcasts,1572,16217,10306,Minecraft,2589,6155,7956
rhdgurwns,3832,6959,Hearthstone,3609,14875,112984,Hearthstone,3609,14875,112984,Food &amp; Drink,4910,6587,173
sonycast_,1944,11593,IRL,1551,5732,53394,Lost Ark Online,3062,6329,1765,Travel &amp; Outdoors,3616,4688,93
tranth,1234,10393,Tom Clancy's Rainbow Six: Siege,1187,3144,49992,Just Chatting,1229,5436,10381,Minecraft,2309,5137,7703
2chamcham2,5671,6963,IRL,1831,8195,46968,Just Chatting,5457,11479,6570,Plants vs. Zombies,6683,7371,160
obm1025,2076,11020,PLAYERUNKNOWN'S BATTLEGROUNDS,194,3844,45711,Just Chatting,1627,10112,18481,Transference,9489,9857,110
yd0821,3179,3466,Minecraft,8389,30888,52558,Minecraft,8389,30888,52558,Deceit,9785,11957,105
moogrr1211,1254,16363,World of Warcraft,458,2547,413302,World of Warcraft,458,2547,413302,World of Warcraft,458,2547,413302
mascahs,1175,9809,Hearthstone,2225,17356,280934,Hearthstone,2225,17356,280934,Hearthstone,2225,17356,280934
heavyrainism,982,9613,PLAYERUNKNOWN'S BATTLEGROUNDS,1426,4360,47679,Minecraft,2966,5692,3615,Angvik,3514,4333,120
cherrypach,2812,7486,IRL,815,4458,49337,Just Chatting,2654,19977,12201,Food &amp; Drink,2938,3871,685
tlfjaos,1823,6351,League of Legends,1315,5202,9043,Just Chatting,2467,12093,2919,Just Chatting,2467,12093,2919
sunbaking,2179,9298,IRL,745,4330,58043,Just Chatting,2618,6231,7290,Super Mario Party,4080,4448,120
